Date,pnl,entry_cost,cumulative_pnl,running_max,drawdown
2025-03-20,-72.5,442.5,-72.5,-72.5,0.0
2025-03-21,-90.0,430.0,-162.5,-72.5,-90.0
2025-03-24,2.5,327.5,-160.0,-72.5,-87.5
2025-03-27,27.5,132.5,-132.5,-72.5,-60.0
2025-03-28,-5.0,755.0,-137.5,-72.5,-65.0
2025-03-31,67.5,282.5,-70.0,-70.0,0.0
2025-04-01,-5.0,95.0,-75.0,-70.0,-5.0
2025-04-02,27.5,242.5,-47.5,-47.5,0.0
2025-04-04,-40.0,140.0,-87.5,-47.5,-40.0
2025-04-07,150.0,430.0,62.5,62.5,0.0
2025-04-08,-192.5,982.5,-130.0,62.5,-192.5
2025-04-09,-80.0,440.0,-210.0,62.5,-272.5
2025-04-10,60.0,130.0,-150.0,62.5,-212.5
2025-04-11,-10.0,1180.0,-160.0,62.5,-222.5
2025-04-14,7.5,682.5,-152.5,62.5,-215.0
2025-04-15,-87.5,677.5,-240.0,62.5,-302.5
2025-04-16,7.5,712.5,-232.5,62.5,-295.0
2025-04-17,-10.0,720.0,-242.5,62.5,-305.0
2025-04-21,85.0,615.0,-157.5,62.5,-220.0
2025-04-22,-87.5,687.5,-245.0,62.5,-307.5
2025-04-23,-55.0,775.0,-300.0,62.5,-362.5
2025-04-24,-7.5,57.5,-307.5,62.5,-370.0
2025-04-28,-40.0,290.0,-347.5,62.5,-410.0
2025-04-29,45.0,415.0,-302.5,62.5,-365.0
2025-05-01,127.5,452.5,-175.0,62.5,-237.5
2025-05-02,175.0,715.0,0.0,62.5,-62.5
2025-05-05,-2.5,322.5,-2.5,62.5,-65.0
2025-05-07,15.0,85.0,12.5,62.5,-50.0
2025-05-08,5.0,85.0,17.5,62.5,-45.0
2025-05-09,-65.0,1595.0,-47.5,62.5,-110.0
2025-05-12,335.0,2325.0,287.5,287.5,0.0
2025-05-13,257.5,2072.5,545.0,545.0,0.0
2025-05-14,-95.0,995.0,450.0,545.0,-95.0
2025-05-15,22.5,517.5,472.5,545.0,-72.5
2025-05-16,45.0,425.0,517.5,545.0,-27.5
2025-05-19,-10.0,290.0,507.5,545.0,-37.5
2025-05-20,-37.5,257.5,470.0,545.0,-75.0
2025-05-27,15.0,125.0,485.0,545.0,-60.0
2025-05-28,-7.5,97.5,477.5,545.0,-67.5
2025-06-02,75.0,615.0,552.5,552.5,0.0
2025-06-03,22.5,327.5,575.0,575.0,0.0
2025-06-11,357.5,772.5,932.5,932.5,0.0
2025-06-12,160.0,780.0,1092.5,1092.5,0.0
2025-06-13,-72.5,792.5,1020.0,1092.5,-72.5
2025-06-16,345.0,1015.0,1365.0,1365.0,0.0
2025-06-17,220.0,1280.0,1585.0,1585.0,0.0
2025-06-18,-2.5,212.5,1582.5,1585.0,-2.5
2025-06-19,70.0,420.0,1652.5,1652.5,0.0
2025-06-20,257.5,772.5,1910.0,1910.0,0.0
2025-06-23,395.0,965.0,2305.0,2305.0,0.0
2025-06-24,-267.5,697.5,2037.5,2305.0,-267.5
2025-06-25,182.5,767.5,2220.0,2305.0,-85.0
2025-06-26,295.0,1105.0,2515.0,2515.0,0.0
2025-06-27,110.0,1230.0,2625.0,2625.0,0.0
2025-06-30,-7.5,1057.5,2617.5,2625.0,-7.5
2025-07-01,40.0,1060.0,2657.5,2657.5,0.0
2025-07-02,200.0,1160.0,2857.5,2857.5,0.0
2025-07-03,262.5,1167.5,3120.0,3120.0,0.0
2025-07-07,255.0,1055.0,3375.0,3375.0,0.0
2025-07-08,675.0,1065.0,4050.0,4050.0,0.0
2025-07-09,90.0,1810.0,4140.0,4140.0,0.0
2025-07-10,-195.0,1705.0,3945.0,4140.0,-195.0
2025-07-11,295.0,1225.0,4240.0,4240.0,0.0
2025-07-14,267.5,972.5,4507.5,4507.5,0.0
2025-07-15,240.0,960.0,4747.5,4747.5,0.0
2025-07-16,-22.5,942.5,4725.0,4747.5,-22.5
2025-07-17,-207.5,957.5,4517.5,4747.5,-230.0
2025-07-18,367.5,1332.5,4885.0,4885.0,0.0
2025-07-21,55.0,525.0,4940.0,4940.0,0.0
2025-07-22,-102.5,762.5,4837.5,4940.0,-102.5
2025-07-23,22.5,127.5,4860.0,4940.0,-80.0
2025-07-24,15.0,85.0,4875.0,4940.0,-65.0
2025-07-28,5.0,215.0,4880.0,4940.0,-60.0
2025-07-29,-10.0,100.0,4870.0,4940.0,-70.0
2025-07-30,22.5,127.5,4892.5,4940.0,-47.5
2025-08-05,17.5,322.5,4910.0,4940.0,-30.0
2025-08-11,-7.5,67.5,4902.5,4940.0,-37.5
2025-08-12,-7.5,37.5,4895.0,4940.0,-45.0
2025-08-13,0.0,70.0,4895.0,4940.0,-45.0
2025-08-14,7.5,72.5,4902.5,4940.0,-37.5
2025-08-18,5.0,115.0,4907.5,4940.0,-32.5
2025-08-19,-15.0,105.0,4892.5,4940.0,-47.5
2025-08-20,-30.0,500.0,4862.5,4940.0,-77.5
2025-08-28,2.5,217.5,4865.0,4940.0,-75.0
2025-08-29,-5.0,105.0,4860.0,4940.0,-80.0
2025-09-02,35.0,225.0,4895.0,4940.0,-45.0
2025-09-03,30.0,130.0,4925.0,4940.0,-15.0
2025-09-04,-12.5,92.5,4912.5,4940.0,-27.5
2025-09-05,52.5,137.5,4965.0,4965.0,0.0
2025-09-08,45.0,245.0,5010.0,5010.0,0.0
2025-09-09,2.5,107.5,5012.5,5012.5,0.0
2025-09-10,87.5,462.5,5100.0,5100.0,0.0
2025-09-11,115.0,585.0,5215.0,5215.0,0.0
2025-09-12,110.0,580.0,5325.0,5325.0,0.0
2025-09-15,82.5,587.5,5407.5,5407.5,0.0
2025-09-16,-52.5,502.5,5355.0,5407.5,-52.5
2025-09-17,62.5,727.5,5417.5,5417.5,0.0
2025-09-18,305.0,1155.0,5722.5,5722.5,0.0
2025-09-23,12.5,217.5,5735.0,5735.0,0.0
2025-09-24,-10.0,280.0,5725.0,5735.0,-10.0
2025-09-25,-17.5,267.5,5707.5,5735.0,-27.5
2025-09-26,5.0,295.0,5712.5,5735.0,-22.5
2025-09-29,-172.5,752.5,5540.0,5735.0,-195.0
2025-09-30,7.5,222.5,5547.5,5735.0,-187.5
2025-10-01,32.5,357.5,5580.0,5735.0,-155.0
2025-10-02,12.5,227.5,5592.5,5735.0,-142.5
2025-10-03,0.0,310.0,5592.5,5735.0,-142.5
2025-10-06,145.0,495.0,5737.5,5737.5,0.0
2025-10-07,-35.0,175.0,5702.5,5737.5,-35.0
2025-10-08,27.5,222.5,5730.0,5737.5,-7.5
2025-10-09,37.5,92.5,5767.5,5767.5,0.0
2025-10-10,-30.0,60.0,5737.5,5767.5,-30.0
2025-10-13,-50.0,300.0,5687.5,5767.5,-80.0
2025-10-14,5.0,505.0,5692.5,5767.5,-75.0
2025-10-15,47.5,242.5,5740.0,5767.5,-27.5
2025-10-16,42.5,247.5,5782.5,5782.5,0.0
2025-10-17,5.0,115.0,5787.5,5787.5,0.0
2025-10-20,42.5,267.5,5830.0,5830.0,0.0
2025-10-23,420.0,650.0,6250.0,6250.0,0.0
2025-10-30,-5.0,105.0,6245.0,6250.0,-5.0
2025-11-03,30.0,210.0,6275.0,6275.0,0.0
2025-11-04,17.5,92.5,6292.5,6292.5,0.0
2025-11-05,-30.0,450.0,6262.5,6292.5,-30.0
2025-11-06,10.0,420.0,6272.5,6292.5,-20.0
2025-11-11,25.0,95.0,6297.5,6297.5,0.0
2025-11-12,2.5,77.5,6300.0,6300.0,0.0
2025-11-13,17.5,92.5,6317.5,6317.5,0.0
2025-11-17,22.5,297.5,6340.0,6340.0,0.0
2025-11-18,-15.0,435.0,6325.0,6340.0,-15.0
2025-11-19,60.0,370.0,6385.0,6385.0,0.0
2025-11-20,550.0,1140.0,6935.0,6935.0,0.0
2025-11-24,12.5,287.5,6947.5,6947.5,0.0
2025-11-28,-2.5,52.5,6945.0,6947.5,-2.5
2025-12-09,10.0,110.0,6955.0,6955.0,0.0
